data-Bird_data-Select_bird,data-Bird_data-Count,PARENT_KEY,KEY
FINI,1,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7/Bird_data[1]
SHAL,2,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7/Bird_data[2]
ZOPA,1,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7/Bird_data[3]
MOFA,2,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7,uuid:87f75ed8-a47a-4a3b-b524-a080732ef9e7/Bird_data[4]
SHAL,1,uuid:18e19174-44a7-434e-a703-7905551276c5,uuid:18e19174-44a7-434e-a703-7905551276c5/Bird_data[1]
FINI,1,uuid:18e19174-44a7-434e-a703-7905551276c5,uuid:18e19174-44a7-434e-a703-7905551276c5/Bird_data[2]
MOFA,2,uuid:18e19174-44a7-434e-a703-7905551276c5,uuid:18e19174-44a7-434e-a703-7905551276c5/Bird_data[3]
EUAL,1,uuid:18e19174-44a7-434e-a703-7905551276c5,uuid:18e19174-44a7-434e-a703-7905551276c5/Bird_data[4]
MOFA,1,uuid:82e7fd38-3839-4d70-a863-3cb6fad912d5,uuid:82e7fd38-3839-4d70-a863-3cb6fad912d5/Bird_data[1]
SHAL,2,uuid:82e7fd38-3839-4d70-a863-3cb6fad912d5,uuid:82e7fd38-3839-4d70-a863-3cb6fad912d5/Bird_data[2]
SHAL,1,uuid:c89699a9-5f42-43de-978f-2c41ddd52689,uuid:c89699a9-5f42-43de-978f-2c41ddd52689/Bird_data[1]
POHO,1,uuid:c89699a9-5f42-43de-978f-2c41ddd52689,uuid:c89699a9-5f42-43de-978f-2c41ddd52689/Bird_data[2]
MOFA,1,uuid:c89699a9-5f42-43de-978f-2c41ddd52689,uuid:c89699a9-5f42-43de-978f-2c41ddd52689/Bird_data[3]
EUAL,1,uuid:c89699a9-5f42-43de-978f-2c41ddd52689,uuid:c89699a9-5f42-43de-978f-2c41ddd52689/Bird_data[4]
MOFA,1,uuid:3fe21a62-6cbe-4de9-8004-61c26d240fc0,uuid:3fe21a62-6cbe-4de9-8004-61c26d240fc0/Bird_data[1]
MOFA,1,uuid:08f04df2-d5f1-484c-b4dd-9239a8925868,uuid:08f04df2-d5f1-484c-b4dd-9239a8925868/Bird_data[1]
FINI,1,uuid:08f04df2-d5f1-484c-b4dd-9239a8925868,uuid:08f04df2-d5f1-484c-b4dd-9239a8925868/Bird_data[2]
MOFA,1,uuid:db13ac56-6316-4565-b1da-1319b4097877,uuid:db13ac56-6316-4565-b1da-1319b4097877/Bird_data[1]
ZOPA,2,uuid:db13ac56-6316-4565-b1da-1319b4097877,uuid:db13ac56-6316-4565-b1da-1319b4097877/Bird_data[2]
CUCE,4,uuid:0aa3a81b-62d6-47be-b7b3-126a57ab1098,uuid:0aa3a81b-62d6-47be-b7b3-126a57ab1098/Bird_data[1]
FINI,1,uuid:0aa3a81b-62d6-47be-b7b3-126a57ab1098,uuid:0aa3a81b-62d6-47be-b7b3-126a57ab1098/Bird_data[2]
SHAL,1,uuid:18dda9df-3254-4a21-818e-eb965e1623e5,uuid:18dda9df-3254-4a21-818e-eb965e1623e5/Bird_data[1]
MOFA,1,uuid:18dda9df-3254-4a21-818e-eb965e1623e5,uuid:18dda9df-3254-4a21-818e-eb965e1623e5/Bird_data[2]
CUCE,1,uuid:16613766-afb7-46f1-834a-179727888763,uuid:16613766-afb7-46f1-834a-179727888763/Bird_data[1]
ZOPA,2,uuid:16613766-afb7-46f1-834a-179727888763,uuid:16613766-afb7-46f1-834a-179727888763/Bird_data[2]
POHO,2,uuid:55686df6-d629-43ee-a1ff-fe1bdc336a5b,uuid:55686df6-d629-43ee-a1ff-fe1bdc336a5b/Bird_data[1]
NA,0,uuid:55686df6-d629-43ee-a1ff-fe1bdc336a5b,uuid:55686df6-d629-43ee-a1ff-fe1bdc336a5b/Bird_data[2]
ZOPA,1,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb/Bird_data[1]
SHMA,1,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb/Bird_data[2]
CUCE,2,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb/Bird_data[3]
POHO,1,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb,uuid:9d00d0ef-6cc7-4880-ac28-6de414e377eb/Bird_data[4]
SHMA,2,uuid:3312fab9-5851-4613-9f70-c368e4a95bdc,uuid:3312fab9-5851-4613-9f70-c368e4a95bdc/Bird_data[1]
POHO,2,uuid:3312fab9-5851-4613-9f70-c368e4a95bdc,uuid:3312fab9-5851-4613-9f70-c368e4a95bdc/Bird_data[2]
FINI,2,uuid:3312fab9-5851-4613-9f70-c368e4a95bdc,uuid:3312fab9-5851-4613-9f70-c368e4a95bdc/Bird_data[3]
CUCE,1,uuid:e9639978-938b-491c-9a93-39b7c0b2aa20,uuid:e9639978-938b-491c-9a93-39b7c0b2aa20/Bird_data[1]
EUAL,2,uuid:e9639978-938b-491c-9a93-39b7c0b2aa20,uuid:e9639978-938b-491c-9a93-39b7c0b2aa20/Bird_data[2]
SHAL,1,uuid:e9639978-938b-491c-9a93-39b7c0b2aa20,uuid:e9639978-938b-491c-9a93-39b7c0b2aa20/Bird_data[3]
